,id,image,ing,prediction
10,0044818076,07cdfe306d.jpg,"rice vinegar,soy sauce,water,grated ginger,garlic cloves,minced,light brown sugar,peanut butter,just warmed in micro,olive oil,sesame oil,hot pepper sauce chili pepper flakes,pasta,cooked,chopped broccoli,cooked in micro on high minutes,cucumber,seeded thin strips",<start> boneless skinless chicken breasts strips soy sauce garlic cloves minced onion chopped green bell pepper chopped <end>
282,08201663df,07f628cebd.jpg,"chicken wings,salt pepper,green chili salsa,pickled jalapeno peppers,unsalted butter,garlic cloves,minced,plain nonfat yogurt,mayonnaise,cilantro,chopped,lime juice,blue cheese,crumbled,celery rib,",<start> chicken breasts salt pepper garlic powder onion powder salt pepper <end>
771,16e4b6bc34,0067eddba9.jpg,"Kabocha squash,Unsalted butter,Cane sugar sugar fine,Egg,Rum,Almond flour,Cake flour,Baking powder,dash Cinnamon powder",<start> baking powder baking soda salt unsalted butter melted egg egg beaten milk vanilla extract <end>
827,188dd3d14b,025cc33455.jpg,"Squeezed Lemon Juice,Water,cloves Garlic,Minced,Dried Oregano,Sugar,Salt,Olive Oil",<start> olive oil onion chopped cloves garlic minced minced ginger root peeled minced salt ground black pepper ground cumin ground coriander ground coriander ground cumin salt ground black pepper <end>
1042,1f1099bc60,02c72ded83.jpg,"ice,kiwi if you love,sugar,banana",<start> banana peeled banana ice cream <end>
1557,2d26a69e19,091ed99a6c.jpg,"sweetened condensed milk,lemon juice,heavy cream,blueberries,rinsed dried,whipped cream whipped topping,graham cracker crust",<start> butter softened eggs vanilla extract baking soda salt chocolate chips <end>
1598,2e49184e97,0898f84477.jpg,"packages crescents,packages bacon,eggs",<start> packages cream cheese softened eggs vanilla extract ground cinnamon ground nutmeg <end>
1608,2e9929d8de,00505d8086.jpg,"Flour,Milk,Eggs,Sugar,pinch Salt",<start> butter margarine softened brown eggs vanilla extract baking powder baking soda salt <end>
1704,30ebeb4886,0fe0f8e366.jpg,"butter margarine,softened,sugar,honey,egg,vanilla,flour,CALUMET Baking Powder,baking soda,salt,rolls hard candies",<start> butter margarine softened egg vanilla extract baking powder baking soda salt ground cinnamon ground nutmeg ground nutmeg ground nutmeg ground nutmeg <end>
2013,39dd7237cf,0c71cf2630.jpg,"green olives,size,drained,thyme,minced,parsley,minced,rosemary,minced,garlic cloves,minced,lemon juice,fresh,fresh ground pepper,olive oil,fresh lemon zest one",<start> green beans rinsed drained olive oil lemon juice salt pepper <end>
2086,3c09111d15,0be4cd41d1.jpg,"sour cream,heavy cream,butter,mushrooms,sliced,leeks,in lengthwise crosswise,wine sherry wine,Dijon mustard,thyme,celery salt,pepper,garlic clove,crushed,boneless skinless chicken breasts boneless skinless chicken thighs",<start> boneless skinless chicken breast halves salt pepper garlic powder onion powder dried thyme ground black pepper garlic powder onion powder <end>
2187,3ecefa7699,0ab0aca2e9.jpg,"fish fillets,enough servings,I sea bass,instant mashed potatoes,garlic powder,dried thyme,dried oregano,salt pepper,egg,beaten",<start> olive oil garlic cloves crushed red pepper flakes salt ground pepper <end>
2312,425d372a87,0979b8a682.jpg,"Wild flounder fillet other tall,Lemon,Bell Pepper,Onion,bunch Green Onion,Paprika,clove Garlic,Coconut Milk,Ripe Tomatoes,Red Palm Oil",<start> boneless skinless chicken breast halves salt black pepper vegetable oil onion diced garlic cloves minced minced ginger root peeled finely chopped red wine vinegar lemon juice salt pepper <end>
2351,438fa034a1,0cef8dc7da.jpg,"pound lean ground beef,jar spaghetti sauce,rotini pasta,mozzarella cheese,shredded",<start> olive oil onion chopped cloves garlic minced pound lean ground beef chopped onion chopped green bell pepper chopped stewed tomatoes tomato paste dried oregano dried basil dried oregano ground black pepper salt ground black pepper <end>
2503,47b383f520,0e5a410ed4.jpg,"flour,wheat flour,cornmeal,sugar,baking soda,baking powder,salt,chilled butter,pieces,buttermilk,Cooking spray,egg white,lightly beaten,poppy seeds,sesame seeds",<start> wheat baking powder baking soda salt ground cinnamon ground nutmeg ground cloves ground nutmeg butter softened eggs vanilla extract <end>
2769,4f73ae2f24,00a8c9fcc4.jpg,"butter,celery,chopped carrot,chopped onion,thyme,poultry seasoning,chicken broth,chicken bouillon,egg noodles,cooked chicken,parsley",<start> olive oil onion finely chopped cloves garlic minced chicken broth chicken broth chicken broth chicken broth chicken broth heavy cream <end>
2985,55a2ab47a1,0cf10fac4f.jpg,"potatoes,butter,melted,parmesan cheese,pepper,cumin",<start> potatoes butter olive oil salt pepper <end>
3034,5718265a97,0defc82ded.jpg,"chicken broth,dried rosemary,clove garlic,halved,bay leaf,salt pepper,asparagus,trimmed,onion,minced parsley",<start> olive oil onion finely chopped garlic cloves minced chicken broth salt pepper <end>
