,id,image,ing,prediction
0,000875a149,0c901c0aee.jpg,"chicken wing pieces,cilantro,clove garlic,jalapeno,fish sauce,lime juice,unsalted butter,flour,canola oil,kosher salt,black pepper",<start> boneless skinless chicken breast halves salt black pepper garlic powder onion powder garlic powder onion powder <end>
1,00203e2b66,002de6dd0d.jpg,"butter,softened,sugar,maple syrup,flour,baking soda,sugar",<start> butter softened eggs vanilla extract <end>
2,0023abc631,00a36427a3.jpg,"unbleached flour,unsweetened cocoa powder,sugar,baking soda,salt,milk,vegetable oil,eggs,vanilla extract,semisweet mini chocolate chips",<start> salt butter softened eggs vanilla extract chocolate chips <end>
3,002722561c,00cd79ad20.jpg,"lean ground beef,slices wheat bread,skim milk,egg,chopped onion,mustard,Worcestershire sauce,salt,pepper,ketchup put over top before",<start> pound lean beef onion chopped garlic cloves minced tomato paste dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil <end>
4,00274c3c21,0cc3a07962.jpg,"chicken,cooked shredded,finely diced onion,garlic cloves,minced,cooking oil,bags packaged coleslaw mix,with shredded carrots,bag bean sprouts,water chestnuts,diced,bottled teriyaki marinade,soy sauce,egg roll wraps,hot oil",<start> butter softened eggs vanilla extract salt <end>
5,0033f5f0dd,007d6fd110.jpg,"Butter sustitute,Eggs,bunch Mixed greens,mushrooms,dash Yellow onion,Avacado,Turkey,Tomato,Low fat cheese,wheat bread",<start> boneless skinless chicken breast strips onion chopped cloves garlic minced tomato paste beef broth tomato paste tomato paste tomato paste tomato paste salt pepper <end>
6,0037418635,0d54ff5a0e.jpg,"salt,chicken broth,jasmine rice,cilantro,chopped if you prefer,,green onions,",<start> butter onion chopped salt pepper <end>
7,0041c37d79,0283aa08f2.jpg,"milk,fruit",<start> lemon juice lemon juice <end>
8,0042e499be,0173668857.jpg,"shortening recipe calls,sugar,egg,milk,vanilla,baking powder,baking soda,salt,light corn syrup,cocoa powder,flour may recipe description",<start> butter softened brown vanilla extract salt chocolate chips <end>
9,004370070b,0b47491a43.jpg,"onions,melted margarine,salt",<start> elbow macaroni butter margarine <end>
10,0044818076,07cdfe306d.jpg,"rice vinegar,soy sauce,water,grated ginger,garlic cloves,minced,light brown sugar,peanut butter,just warmed in micro,olive oil,sesame oil,hot pepper sauce chili pepper flakes,pasta,cooked,chopped broccoli,cooked in micro on high minutes,cucumber,seeded thin strips",<start> boneless skinless chicken breast halves salt pepper taste garlic cloves minced garlic cloves minced chicken broth <end>
