,id,image,ing,prediction
140,03ce633485,00074feb7a.jpg,"flour,baking powder,baking soda,salt,ground cinnamon,ground nutmeg,butter,sugar,egg,ripe bananas,mashed,butterscotch chips,chopped walnuts",<start> baking soda baking powder salt ground cinnamon ground nutmeg butter softened eggs vanilla extract <end>
153,045e372472,0dd85fbd75.jpg,",olive oil,red wine vinegar,sugar,soy sauce,,shredded cabbage,green onions,thinly sliced,toasted almonds,chopped,sunflower seed kernels,raisins",<start> olive oil onion chopped cloves garlic minced pound shrimp peeled deveined salt black pepper <end>
197,057757ee01,0c1ba1b61d.jpg,"block Firm tofu,Ground pork,piece Ginger,clove Garlic,stalk Leek,Doubanjiang,Chinese soup stock,tsp Tianmianjiang,Soy sauce,tsp Sake,tsp Sugar,pinch Umami seasoning,tsp Katakuriko,tsp Water,tsp Sesame oil",<start> olive oil onion diced cloves garlic minced chicken broth dried thyme ground black pepper salt ground black pepper taste shredded sharp cheddar cheese <end>
216,05ee21966c,0fbd5f50af.jpg,"each dried guajillo chilis,each dried California chili,pasilla chili pepper,jalapeno chili pepper,clove garlic,Onion in chunks,chili powder,plain tomato sauce,largest sized,Bay leaves,be leg",<start> olive oil onion chopped cloves garlic minced chicken broth chicken broth soy sauce dry wine soy sauce <end>
254,0761bf54f6,0d49acd6c2.jpg,"cauliflower,salt,taste,flour,butter,milk not use nonfat,sour cream,salt,taste,black pepper,taste,sharp cheddar cheese,grated",<start> elbow macaroni shredded cheddar cheese shredded sharp cheddar cheese shredded sharp cheddar cheese salt pepper <end>
284,0826e70b6b,0b4cc85971.jpg,"eggs,quart milk,sugar,vanilla extract,pinch ground nutmeg",<start> pound lean ground beef onion chopped garlic cloves minced salt ground black pepper dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano ground black pepper <end>
290,084e85c53b,079172e223.jpg,"flour,unpacked brown sugar,baking soda,salt,cinnamon,butter,eggs,vanilla,oatmeal",<start> butter softened brown packed egg vanilla extract baking soda salt ground cinnamon ground nutmeg <end>
323,093b062a47,0ba79d1877.jpg,"flour,caster sugar,margarine,egg,beaten,milk,raspberry jam,caster sugar,dust",<start> baking powder baking soda salt unsalted butter melted eggs vanilla extract milk chocolate chips <end>
324,095e9ae935,08a66896d0.jpg,"ground beef,onion,chopped,green bell pepper,chopped,garlic cloves,minced,tomato puree,kidney beans,drained,water,chili powder,cumin,oregano,salt,cayenne pepper,spaghetti any",<start> olive oil onion chopped cloves garlic minced dried oregano dried basil dried oregano dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil dried oregano dried basil <end>
327,098ae50b38,073814c456.jpg,"loaf Italian bread,butter,celery salt,onion powder,parmesan cheese",<start> chicken breasts salt pepper butter melted butter onion finely chopped garlic clove minced chicken broth lemon juice <end>
331,09a1a1244d,05829ef54f.jpg,"flour,salt,shortening,chilled,ice water",<start> salt shortening egg yolks <end>
368,0a94fd4bb9,0ebe2ea990.jpg,"sugar,plus,sugar,milk,eggs,separated,cornstarch,flaked coconut,vanilla extract,butter,inch pie shell,baked,toasted coconut",<start> cream cheese softened butter softened eggs vanilla extract salt baking soda baking powder <end>
371,0ab38003bd,0c0218d523.jpg,"butter,yellow onions,tart apples,cored chunked,but not peeled,Winesap Granny,bulk breakfast sausage,with sage your favorite bulk,coarsely crumbled cornbread,coarsely crumbled wheat bread bread,coarsely crumbled French bread Italian bread,dried thyme,dried sage,salt pepper,taste,chopped Italian parsley,shelled pecan not,chicken broth,a moist",<start> olive oil onion chopped cloves garlic minced pound shrimp peeled deveined salt freshly ground black pepper pound bulk sausage cooked crumbled feta cheese crumbled feta cheese crumbled <end>
421,0c30d84aa7,04d19834b1.jpg,"olive oil,yellow onion,dice,garlic clove,finely chopped,sour cream,chevre cheese,finely chopped chives",<start> olive oil onion chopped garlic cloves minced ground cinnamon ground nutmeg ground allspice ground nutmeg ground allspice ground nutmeg ground nutmeg ground nutmeg ground nutmeg ground nutmeg <end>
449,0ceb39d240,00efc85711.jpg,"mayonnaise,condiment your choice,slices sourdough bread,slices provolone cheese,thin slices ham,roasted red pepper in oil,drained sliced,butter,grated Parmesan Romano cheese",<start> slices bread slices bread slices provolone cheese slices provolone cheese slices <end>
450,0cf26b35d0,06a9be7680.jpg,"cloves garlic,minced,olive oil,pinch salt ground black pepper,New York strip steaks,cloves garlic,peeled,olive oil frying,pinch salt ground black pepper taste,balsamic vinegar",<start> butter softened brown packed baking powder baking soda salt unsalted butter at room temperature egg yolk vanilla extract baking soda salt unsalted butter room temperature <end>
467,0d87b24a32,04bad2b292.jpg,"potatos,green pepper,onion,chopped,chicken breast,bread crumbs,Caesar dressing",<start> olive oil onion chopped cloves garlic minced chicken broth chicken broth cooked rice uncooked rice <end>
513,0ef7f715c0,056471f668.jpg,"flour,salt,shortening,eggs,divided,water,finely chopped onion King thru,KRAFT Zesty Italian Dressing,spinach,cooked,drained finely chopped,finely chopped cooked carrots Target thru,KRAFT Shredded Colby Monterey Jack Cheeses",<start> baking powder baking soda salt unsalted butter room temperature egg yolk room temperature vanilla extract egg whites room temperature vanilla extract <end>
